,branchIndex,Branches,Distances,Frequency
0,0,"[55, 35, 19, 1]","[nan, nan, nan, nan]","[15.0, 35.0, 29.0, 32.0]"
1,6,"[8, 7]","[0.0, 0.0]","[4.0, 7.0]"
2,10,"[12, 11]","[0.0, 0.0]","[7.0, 2.0]"
3,14,"[16, 15]","[22.05, 33.88]","[3.0, 3.0]"
4,19,"[21, 20]","[25.55, 9.52]","[9.0, 15.0]"
5,20,"[23, 22]","[94.12, 30.09]","[9.0, 8.0]"
6,21,"[23, 22]","[105.15, 28.43]","[9.0, 8.0]"
7,26,"[29, 28]","[5.19, 17.77]","[6.0, 1.0]"
8,31,"[33, 32]","[7.87, 12.06]","[4.0, 3.0]"
9,36,"[39, 38]","[79.52, 37.53]","[13.0, 9.0]"
10,41,"[43, 42]","[0.0, 0.0]","[4.0, 9.0]"
11,44,"[46, 45]","[0.0, 0.0]","[7.0, 3.0]"
12,48,"[50, 49]","[0.0, 0.0]","[7.0, 2.0]"
13,51,"[53, 52]","[0.0, 0.0]","[5.0, 2.0]"
14,56,"[59, 58, 57]","[60.58, 13.59, 24.99]","[3.0, 2.0, 3.0]"
15,64,"[66, 65]","[0.0, 0.0]","[2.0, 2.0]"
16,67,"[69, 68]","[0.0, 0.0]","[2.0, 2.0]"
17,70,"[72, 71]","[9.89, 31.66]","[3.0, 1.0]"
