,pattern,NamedPattern,NumUsersMatchPattern,NumUsersAtEachNode
59,-0-35-,"['INSTRUCTIONS', '1. Mary Start']",27,"[109.0, 35.0]"
1,-0-1-,"['INSTRUCTIONS', '1. Byron Start']",26,"[109.0, 32.0]"
26,-0-19-,"['INSTRUCTIONS', '1. Percy Start']",22,"[109.0, 29.0]"
60,-0-35-36-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead']",18,"[109.0, 35.0, 21.0]"
121,-19-20-,"['1. Percy Start', '2A. Seek heart']",15,"[29.0, 15.0]"
2,-0-1-2-,"['INSTRUCTIONS', '1. Byron Start', '2. Imagine Claire']",13,"[109.0, 32.0, 19.0]"
84,-0-55-,"['INSTRUCTIONS', '1. John Start']",12,"[109.0, 15.0]"
27,-0-19-20-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart']",12,"[109.0, 29.0, 15.0]"
66,-0-35-36-39-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron']",10,"[109.0, 35.0, 21.0, 13.0]"
3,-0-1-2-3-,"['INSTRUCTIONS', '1. Byron Start', '2. Imagine Claire', '3A. Taunt John']",9,"[109.0, 32.0, 19.0, 13.0]"
171,-35-36-38-,"['1. Mary Start', '2A. Conjure the dead', '3A. Spot William']",7,"[35.0, 21.0, 9.0]"
109,-10-12-,"['6. Face Claire', '6B. Dare']",7,"[9.0, 7.0]"
67,-0-35-36-39-40-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!']",7,"[109.0, 35.0, 21.0, 13.0, 16.0]"
174,-36-38-,"['2A. Conjure the dead', '3A. Spot William']",7,"[21.0, 9.0]"
198,-48-50-,"['8. Find Book', '8B. Ambush']",7,"[8.0, 7.0]"
4,-0-1-2-3-6-,"['INSTRUCTIONS', '1. Byron Start', '2. Imagine Claire', '3A. Taunt John', '4. Ambush']",7,"[109.0, 32.0, 19.0, 13.0, 10.0]"
186,-44-46-,"['6. Leap', '6B. Meet Mary Wollstonecraft']",6,"[11.0, 7.0]"
155,-25-26-29-,"['5. Find Heart', '5A. Channel Mary', '6B. Swim']",6,"[8.0, 7.0, 6.0]"
85,-0-55-56-,"['INSTRUCTIONS', '1. John Start', '2. Imagine Fanny']",6,"[109.0, 15.0, 8.0]"
68,-0-35-36-39-40-41-,"['INSTRUCTIONS', '1. Mary Start', '2A. Conjure the dead', '3B. Chase Byron', '4. Brace Yourself!', '5. Come Home']",6,"[109.0, 35.0, 21.0, 13.0, 16.0, 13.0]"
157,-26-29-,"['5A. Channel Mary', '6B. Swim']",6,"[7.0, 6.0]"
142,-20-22-,"['2A. Seek heart', '3A. Talk to John']",5,"[15.0, 8.0]"
187,-44-46-47-,"['6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth']",5,"[11.0, 7.0, 7.0]"
122,-19-20-22-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John']",5,"[29.0, 15.0, 8.0]"
188,-44-46-47-48-50-,"['6. Leap', '6B. Meet Mary Wollstonecraft', '7. Tell The Truth', '8. Find Book', '8B. Ambush']",5,"[11.0, 7.0, 7.0, 8.0, 7.0]"
110,-10-12-13-,"['6. Face Claire', '6B. Dare', '7. Seduce']",5,"[9.0, 7.0, 7.0]"
