,user,pagesRead,TotalActiveTime,reader class,ApproxDistanceTravelled,reachedEndPage,AverageTimePerPage,ExitPoints,ExitPointsName
0,5b9a9415def82a3ad52e2a7e,16,4 days 22:05:33.419000000,Active Avid,354.56,False,0 days 07:22:50.838687500,2091fc6e-94bb-4940-65b1-4f197ffec78c,2B. Chase girl
1,5ba0e437def82a3ad52e2c1c,48,21 days 00:10:16.949000000,Active Dedicated Reader,1235.48,True,0 days 10:30:12.853104166,1d1d31a6-aaf8-4e5f-2521-ac55bca0caa1,9A. Attack
2,5bc0abd6def82a3ad52e8527,47,27 days 20:53:51.337000000,Active Dedicated Reader,838.1300000000001,True,0 days 14:13:54.709297872,3fd76aaa-1e0b-4335-2559-7349ba4d28d2,4A. Clash
4,5bd6f1badef82a3ad53a2330,26,0 days 01:56:50.068000000,Active Dedicated Reader,386.96,True,0 days 00:04:29.618000000,893861b0-fa80-483e-ed94-e405e91ee0b6,INSTRUCTIONS
5,5bd6f1bbdef82a3ad53a2331,32,0 days 02:49:45.428000000,Active Dedicated Reader,670.42,True,0 days 00:05:18.294625000,4126c2ab-8302-46d0-90ff-1f59fd063d88,2A. Conjure the dead
6,5bd70587def82a3ad53a3cd8,15,0 days 01:59:37.178000000,Active Avid,275.5,False,0 days 00:07:58.478533333,893861b0-fa80-483e-ed94-e405e91ee0b6,INSTRUCTIONS
7,5bd70588def82a3ad53a3cd9,25,0 days 02:26:21.521000000,Active Dedicated Reader,686.34,True,0 days 00:05:51.260840000,4126c2ab-8302-46d0-90ff-1f59fd063d88,2A. Conjure the dead
8,5bd890c9def82a3ad54395e3,371,21 days 05:58:37.575000000,Active Dedicated Reader,9193.960000000005,True,0 days 01:22:28.564892183,383154c5-58f4-42ac-7c84-951d5133af4e,8. Emerge
9,5bd8a561def82a3ad543d6ed,4,0 days 00:25:51.593000000,Light Reader,73.96000000000001,False,0 days 00:06:27.898250000,1ed5a659-7032-41cf-03e9-82effaf98552,1. John Start
10,5bd8dda5def82a3ad54407be,2,0 days 00:01:03.299000000,Checker,0.0,False,0 days 00:00:31.649500000,1ed5a659-7032-41cf-03e9-82effaf98552,1. John Start
11,5bd98bdadef82a3ad54426bb,2,0 days 00:00:47.937000000,Checker,0.0,False,0 days 00:00:23.968500000,f17e55aa-28d2-4596-3a3b-f4160fec8c37,1. Mary Start
12,5bd9962adef82a3ad5443f0f,10,0 days 00:22:00.410000000,Active Speed,237.77000000000004,False,0 days 00:02:12.041000000,383154c5-58f4-42ac-7c84-951d5133af4e,8. Emerge
13,5bd9c9a4def82a3ad5453575,4,0 days 00:27:12.277000000,Light Reader,39.61,False,0 days 00:06:48.069250000,f771ecd2-0870-4d2e-624c-ffc491230f78,3A. Talk to John
14,5bd9cb6adef82a3ad54558e9,2,0 days 00:01:25.738000000,Checker,0.0,False,0 days 00:00:42.869000000,5a428f8b-173c-4d48-ce72-b1d137234d5d,1. Byron Start
15,5bd9d2a8def82a3ad54583a8,42,0 days 02:40:25.672000000,Active Dedicated Reader,862.13,True,0 days 00:03:49.182666666,47480a57-3aee-4176-c171-7a02b2572a57,Exit Story
16,5bd9d535def82a3ad545d2bb,2,0 days 00:04:31.154000000,Checker,0.0,False,0 days 00:02:15.577000000,f17e55aa-28d2-4596-3a3b-f4160fec8c37,1. Mary Start
17,5bd9d721def82a3ad5461936,2,0 days 00:02:59.722000000,Checker,0.0,False,0 days 00:01:29.861000000,f17e55aa-28d2-4596-3a3b-f4160fec8c37,1. Mary Start
19,5bd9e399def82a3ad5464c24,17,0 days 00:57:43.282000000,Active Dedicated Reader,479.46999999999997,True,0 days 00:03:23.722470588,c56a29d1-0564-403b-8a82-0697a3d40080,10. Recover
20,5bd9e39edef82a3ad5464c25,13,0 days 00:42:19.618000000,Active Avid,326.30999999999995,False,0 days 00:03:15.355230769,a82cf302-d62e-4e76-9ae3-0fcf78103656,3B. Chase Byron
21,5bd9e3a0def82a3ad5464c26,5,0 days 00:16:30.084000000,Light Reader,187.76,False,0 days 00:03:18.016800000,3a9afeb3-3bdd-4a33-cafb-7978f2e8480f,4. Brace Yourself!
