,PageName,NumExitedHere
1,1. Byron Start,13
2,1. John Start,8
3,1. Mary Start,5
4,2. Imagine Claire,3
7,2A. Conjure the dead,2
9,2A. Seek heart,2
18,3A. Follow Mary,1
26,3A. Spot William,1
8,3A. Talk to John,2
6,3A. Taunt John,2
10,3B. Chase Byron,2
22,3B. Talk to Byron,1
16,3C. Follow Byron,1
23,4. Ambush,1
11,4. Brace Yourself!,2
15,5A. Channel Mary,1
27,5A. Channel Percy,1
14,6. Face Claire,1
5,6. Leap,2
21,6B. Dare,1
17,8. Spin,1
19,8B. Ambush,1
28,9A. Kill,1
25,10. Recover,1
20,10. Rise,1
24,10B. Stage Dive,1
12,Exit Story,2
0,INSTRUCTIONS,16
13,Thank You,1
