,pageId,Frequency,ExitBranches,Latitude,Longitude
0,02ba1ccc-23f1-45dd-ba65-12c5505d564e,1,"[54, 78]",50.720404,-1.8759634
1,03d8f614-5867-4960-592b-7c50cd351f77,1,"[60, 78]",50.7200843,-1.8756065
2,15bbe172-c658-4498-e4a3-3b2c74a2e297,1,"[26, 78]",50.720327,-1.8750706
3,1d1d31a6-aaf8-4e5f-2521-ac55bca0caa1,1,"[34, 78]",50.720204,-1.8753037
4,1ed5a659-7032-41cf-03e9-82effaf98552,9,"[56, 78]",50.7201856,-1.8757484
5,2091fc6e-94bb-4940-65b1-4f197ffec78c,1,"[23, 22, 78]",50.7204506,-1.8759622
6,3339055b-87bd-4f52-acce-5f195750a823,1,"[29, 28, 78]",50.720327,-1.8750706
7,383154c5-58f4-42ac-7c84-951d5133af4e,2,"[33, 32, 78]",50.7201043,-1.8753713
8,3a9afeb3-3bdd-4a33-cafb-7978f2e8480f,2,"[41, 39, 78]",50.7205774,-1.874086
9,3bfc772a-2257-4244-3e75-51c181bee1a9,1,[78],,
10,3c448b17-5737-417a-48ae-e88b7945103f,1,"[60, 78]",50.7204287,-1.8749727
11,3fd76aaa-1e0b-4335-2559-7349ba4d28d2,1,"[63, 78]",50.7205774,-1.874086
12,4126c2ab-8302-46d0-90ff-1f59fd063d88,2,"[39, 38, 78]",50.7204592,-1.8761013
13,46dd5ea2-3f41-4172-407e-89b5939d1bd9,1,"[12, 11, 78]",50.720543,-1.8734733
14,47480a57-3aee-4176-c171-7a02b2572a57,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]",,
15,5a428f8b-173c-4d48-ce72-b1d137234d5d,13,"[2, 78]",50.7203374,-1.8759896
16,5eb7c764-0aa4-4984-2b27-2515b92cb252,1,"[33, 76, 78]",50.7202914,-1.875251
17,5ec9f575-6477-48c1-4ab9-a91ffc26421d,1,"[13, 78]",50.720543,-1.8734733
18,6d77c836-c34f-44bd-43d4-2c9f02af7052,2,"[46, 45, 43, 78]",50.7204059,-1.8748728
19,7c67cd54-26b2-4cad-1e91-80e342964c11,2,"[23, 22, 78]",50.7205638,-1.8757946
20,893861b0-fa80-483e-ed94-e405e91ee0b6,25,"[55, 35, 19, 1]",,
21,8bf230cc-42fa-4cd2-3eb9-d16480cd7094,1,"[21, 20, 78]",50.7206488,-1.8757786
22,967019ef-a441-4a99-2268-795d189d258b,1,"[24, 21, 78]",50.7204558,-1.8744686
23,9a2c0781-eda8-4336-b4c2-96862f9d0e19,1,"[59, 58, 57, 78]",50.7202737,-1.8757976
24,9d01ba5c-9124-40c7-3e0a-bd7206a2304b,2,"[6, 78]",50.7202206,-1.8756434
25,a82cf302-d62e-4e76-9ae3-0fcf78103656,2,"[40, 78]",50.7204287,-1.8749727
26,a84f3bab-38e9-42cb-d67a-54f950065326,1,"[8, 7, 78]",50.7205774,-1.874086
27,c56a29d1-0564-403b-8a82-0697a3d40080,3,"[77, 52, 78]",50.7202658,-1.8756928
28,c832574d-38c0-44dc-12c2-9bf1a14c8465,3,"[3, 78]",50.720304,-1.8758203
29,d6d2258e-f794-4f66-0bc3-4a0ca556994f,2,"[40, 78]",50.7203175,-1.8756174
30,edce1ebf-9573-4858-63bc-4d1dcf4700b8,2,"[44, 78]",50.720327,-1.8750706
31,f17e55aa-28d2-4596-3a3b-f4160fec8c37,8,"[36, 78]",50.7207366,-1.8756622
32,f771ecd2-0870-4d2e-624c-ffc491230f78,2,"[24, 21, 78]",50.7203175,-1.8756174
33,ff5e1bc5-9c28-4936-71c7-dd8f41363f76,1,"[51, 78]",50.7204156,-1.8752579
