,BaseRoot,Branch,Root,FrequencyExited,RootFreq,BranchFreq,BaseRootFreq,BaseRootLat,BaseRootLon,BranchLat,BranchLon,Distance,ProportionExited,ProportionPerBranch
0,19,23,21,4,14,13,38,50.7206488,-1.8757786,50.7204558,-1.8744686,94.69,0.2857142857142857,0.9285714285714286
1,19,22,21,4,14,12,38,50.7206488,-1.8757786,50.7203175,-1.8756174,38.55,0.2857142857142857,0.8571428571428571
2,59,61,60,3,10,7,6,50.7204287,-1.8749727,50.7205774,-1.874086,64.57,0.3,0.7
3,59,58,60,3,10,6,6,50.7204287,-1.8749727,50.7203175,-1.8756174,47.04,0.3,0.6
4,59,57,60,3,10,7,6,50.7204287,-1.8749727,50.7200843,-1.8756065,58.8,0.3,0.7
5,58,61,60,3,10,7,6,50.7203175,-1.8756174,50.7205774,-1.874086,111.61,0.3,0.7
6,58,59,60,3,10,6,6,50.7203175,-1.8756174,50.7204287,-1.8749727,47.04,0.3,0.6
7,58,57,60,3,10,7,6,50.7203175,-1.8756174,50.7200843,-1.8756065,25.94,0.3,0.7
8,57,61,60,3,10,7,7,50.7200843,-1.8756065,50.7205774,-1.874086,120.27,0.3,0.7
9,57,59,60,3,10,6,7,50.7200843,-1.8756065,50.7204287,-1.8749727,58.8,0.3,0.6
10,57,58,60,3,10,6,7,50.7200843,-1.8756065,50.7203175,-1.8756174,25.94,0.3,0.6
11,21,24,22,3,12,15,14,50.7204506,-1.8759622,50.720405,-1.8747268,87.12,0.25,1.25
12,21,20,22,3,12,20,14,50.7204506,-1.8759622,50.7205638,-1.8757946,17.25,0.25,1.6666666666666667
13,20,24,22,3,12,15,20,50.7205638,-1.8757946,50.720405,-1.8747268,77.22,0.25,1.25
14,20,21,22,3,12,14,20,50.7205638,-1.8757946,50.7204506,-1.8759622,17.25,0.25,1.1666666666666667
15,21,24,23,3,13,15,14,50.7204506,-1.8759622,50.720405,-1.8747268,87.12,0.23076923076923078,1.1538461538461537
16,21,20,23,3,13,20,14,50.7204506,-1.8759622,50.7205638,-1.8757946,17.25,0.23076923076923078,1.5384615384615385
17,20,24,23,3,13,15,20,50.7205638,-1.8757946,50.720405,-1.8747268,77.22,0.23076923076923078,1.1538461538461537
18,20,21,23,3,13,14,20,50.7205638,-1.8757946,50.7204506,-1.8759622,17.25,0.23076923076923078,1.0769230769230769
19,23,25,24,3,15,14,13,50.7204558,-1.8744686,50.720327,-1.8750706,44.73,0.2,0.9333333333333333
20,23,22,24,3,15,12,13,50.7204558,-1.8744686,50.7203175,-1.8756174,82.32,0.2,0.8
21,22,25,24,3,15,14,12,50.7203175,-1.8756174,50.720327,-1.8750706,38.51,0.2,0.9333333333333333
22,22,23,24,3,15,13,12,50.7203175,-1.8756174,50.7204558,-1.8744686,82.32,0.2,0.8666666666666667
23,31,34,33,3,5,7,10,50.7201043,-1.8753713,50.7202914,-1.875251,22.46,0.6,1.4
24,39,41,40,3,26,22,18,50.7204287,-1.8749727,50.720327,-1.8750706,13.24,0.11538461538461539,0.8461538461538461
25,39,38,40,3,26,17,18,50.7204287,-1.8749727,50.7203175,-1.8756174,47.04,0.11538461538461539,0.6538461538461539
26,38,41,40,3,26,22,17,50.7203175,-1.8756174,50.720327,-1.8750706,38.51,0.11538461538461539,0.8461538461538461
27,38,39,40,3,26,18,17,50.7203175,-1.8756174,50.7204287,-1.8749727,47.04,0.11538461538461539,0.6923076923076923
28,36,40,39,3,18,26,35,50.7204592,-1.8761013,50.7205774,-1.874086,142.48,0.16666666666666666,1.4444444444444444
30,33,32,34,2,7,5,5,50.7200626,-1.8754617,50.720204,-1.8753037,19.26,0.2857142857142857,0.7142857142857143
31,32,33,34,2,7,5,5,50.720204,-1.8753037,50.7200626,-1.8754617,19.26,0.2857142857142857,0.7142857142857143
33,10,13,11,2,6,14,16,50.720543,-1.8734733,50.720531,-1.8741479,47.51,0.3333333333333333,2.3333333333333335
34,44,47,45,2,5,13,19,50.7204059,-1.8748728,50.7204237,-1.8751131,17.03,0.4,2.6
35,43,46,44,2,19,13,6,50.720327,-1.8750706,50.7204059,-1.8748728,16.46,0.10526315789473684,0.6842105263157895
36,43,45,44,2,19,5,6,50.720327,-1.8750706,50.7204059,-1.8748728,16.46,0.10526315789473684,0.2631578947368421
37,43,42,44,2,19,16,6,50.720327,-1.8750706,50.720327,-1.8750706,0.0,0.10526315789473684,0.8421052631578947
38,42,46,44,2,19,13,16,50.720327,-1.8750706,50.7204059,-1.8748728,16.46,0.10526315789473684,0.6842105263157895
39,42,45,44,2,19,5,16,50.720327,-1.8750706,50.7204059,-1.8748728,16.46,0.10526315789473684,0.2631578947368421
40,42,43,44,2,19,6,16,50.720327,-1.8750706,50.720327,-1.8750706,0.0,0.10526315789473684,0.3157894736842105
41,41,44,43,2,6,19,22,50.720327,-1.8750706,50.7204059,-1.8748728,16.46,0.3333333333333333,3.1666666666666665
42,12,14,13,2,14,13,11,50.720543,-1.8734733,50.720533,-1.87429,57.5,0.14285714285714285,0.9285714285714286
43,12,11,13,2,14,6,11,50.720543,-1.8734733,50.720543,-1.8734733,0.0,0.14285714285714285,0.42857142857142855
44,11,14,13,2,14,13,6,50.720543,-1.8734733,50.720533,-1.87429,57.5,0.14285714285714285,0.9285714285714286
45,11,12,13,2,14,11,6,50.720543,-1.8734733,50.720543,-1.8734733,0.0,0.14285714285714285,0.7857142857142857
46,40,43,41,2,22,6,26,50.7205774,-1.874086,50.720327,-1.8750706,74.7,0.09090909090909091,0.2727272727272727
47,40,42,41,2,22,16,26,50.7205774,-1.874086,50.720327,-1.8750706,74.7,0.09090909090909091,0.7272727272727273
48,36,40,38,2,17,26,35,50.7204592,-1.8761013,50.7205774,-1.874086,142.48,0.11764705882352941,1.5294117647058822
49,35,39,36,2,35,18,55,50.7207366,-1.8756622,50.7204287,-1.8749727,59.4,0.05714285714285714,0.5142857142857142
50,35,38,36,2,35,17,55,50.7207366,-1.8756622,50.7203175,-1.8756174,46.71,0.05714285714285714,0.4857142857142857
52,31,34,32,2,5,7,10,50.7201043,-1.8753713,50.7202914,-1.875251,22.46,0.4,1.4
55,19,23,20,2,20,13,38,50.7206488,-1.8757786,50.7204558,-1.8744686,94.69,0.1,0.65
56,19,22,20,2,20,12,38,50.7206488,-1.8757786,50.7203175,-1.8756174,38.55,0.1,0.6
57,26,30,29,2,10,9,11,50.720327,-1.8750706,50.7200404,-1.8754931,43.59,0.2,0.9
58,26,30,28,2,2,9,11,50.720327,-1.8750706,50.7200404,-1.8754931,43.59,1.0,4.5
59,25,29,26,2,11,10,14,50.720327,-1.8750706,50.7203123,-1.8750007,5.19,0.18181818181818182,0.9090909090909091
60,25,28,26,2,11,2,14,50.720327,-1.8750706,50.7203105,-1.8748195,17.77,0.18181818181818182,0.18181818181818182
61,44,47,46,2,13,13,19,50.7204059,-1.8748728,50.7204237,-1.8751131,17.03,0.15384615384615385,1.0
62,10,13,12,2,11,14,16,50.720543,-1.8734733,50.720531,-1.8741479,47.51,0.18181818181818182,1.2727272727272727
63,56,60,57,2,7,10,17,50.7202737,-1.8757976,50.7205774,-1.874086,125.14,0.2857142857142857,1.4285714285714286
64,6,9,7,2,10,16,17,50.7205774,-1.874086,50.7203205,-1.8733245,60.74,0.2,1.6
65,50,53,51,2,11,8,10,50.7204156,-1.8752579,50.720404,-1.8759634,49.68,0.18181818181818182,0.7272727272727273
66,50,52,51,2,11,5,10,50.7204156,-1.8752579,50.720404,-1.8759634,49.68,0.18181818181818182,0.45454545454545453
