,user,pagesRead
0,5b9a9415def82a3ad52e2a7e,16
1,5ba0e437def82a3ad52e2c1c,48
2,5bc0abd6def82a3ad52e8527,47
3,5bd52d8adef82a3ad53a158b,1
4,5bd6f1badef82a3ad53a2330,26
5,5bd6f1bbdef82a3ad53a2331,32
6,5bd70587def82a3ad53a3cd8,15
7,5bd70588def82a3ad53a3cd9,25
8,5bd890c9def82a3ad54395e3,371
9,5bd8a561def82a3ad543d6ed,4
10,5bd8dda5def82a3ad54407be,2
11,5bd98bdadef82a3ad54426bb,2
12,5bd9962adef82a3ad5443f0f,10
13,5bd9c9a4def82a3ad5453575,4
14,5bd9cb6adef82a3ad54558e9,2
15,5bd9d2a8def82a3ad54583a8,42
16,5bd9d535def82a3ad545d2bb,2
17,5bd9d721def82a3ad5461936,2
18,5bd9e32edef82a3ad5464c1c,1
19,5bd9e399def82a3ad5464c24,17
20,5bd9e39edef82a3ad5464c25,13
21,5bd9e3a0def82a3ad5464c26,5
22,5bd9e3acdef82a3ad5464c2b,15
23,5bd9e3b6def82a3ad5464c2d,8
24,5bd9e3bddef82a3ad5464c30,7
25,5bd9e3c0def82a3ad5464c32,4
26,5bd9e3cedef82a3ad5464c3a,4
27,5bd9e3d2def82a3ad5464c3e,14
28,5bd9e3dfdef82a3ad5464def,5
29,5bd9e3e5def82a3ad5464f4e,8
30,5bd9e3f6def82a3ad54652c6,3
31,5bd9e403def82a3ad54652c7,4
32,5bd9e418def82a3ad54652cc,6
33,5bd9e433def82a3ad54652e1,2
34,5bd9e433def82a3ad54652e2,4
35,5bd9e434def82a3ad54652e6,4
36,5bd9e434def82a3ad54652e9,2
37,5bd9e436def82a3ad54652ea,16
38,5bd9e436def82a3ad54652eb,7
39,5bd9e43adef82a3ad54652f0,2
40,5bd9e43adef82a3ad54652f1,2
41,5bd9e43cdef82a3ad54652f4,1
42,5bd9e43ddef82a3ad54652f5,4
43,5bd9e442def82a3ad54652fb,9
44,5bd9e444def82a3ad54652fc,3
45,5bd9e460def82a3ad54653df,2
46,5bd9e464def82a3ad5465548,2
47,5bd9e482def82a3ad5466be3,2
48,5bd9e497def82a3ad54683f8,6
49,5bd9e4c3def82a3ad546cd18,3
50,5bd9e557def82a3ad54716e7,18
51,5bd9e609def82a3ad5474748,5
52,5bd9e63edef82a3ad5475228,2
53,5bd9e6d4def82a3ad54777dd,6
54,5bd9e6dddef82a3ad5477bcb,1
55,5bd9e6f8def82a3ad5477ff1,2
56,5bd9e834def82a3ad547cd92,6
57,5bd9e975def82a3ad5483fdc,4
58,5bd9e98fdef82a3ad54842a5,5
59,5bd9ea75def82a3ad5487445,1
60,5bd9ebfadef82a3ad548b78c,13
61,5bd9ef0adef82a3ad5495373,2
62,5bd9ef17def82a3ad549537c,1
63,5bd9efa4def82a3ad5497a48,6
64,5bd9f018def82a3ad549896b,1
65,5bd9f048def82a3ad5498e23,6
66,5bd9f27edef82a3ad54a574b,1
67,5bd9f35bdef82a3ad54a6ffb,2
68,5bd9f600def82a3ad54a93e3,2
69,5bda092bdef82a3ad54ab0dc,1
70,5bda0cbddef82a3ad54ab74a,8
71,5bda0ce2def82a3ad54ab74e,1
72,5bda0d82def82a3ad54ab751,2
73,5bda0d96def82a3ad54ab753,2
74,5bda0dd1def82a3ad54ab75b,2
75,5bda1680def82a3ad54ae13a,1
76,5bda3236def82a3ad54ae945,4
77,5bda3507def82a3ad54af326,12
78,5bda36d5def82a3ad54b01d8,4
79,5bda9b44def82a3ad54b211e,2
80,5bdb3a9bb090bd25ba7063dd,1
81,5bdb4ba3b090bd25ba7068b4,1
82,5bdc1ce9b090bd25ba706f42,4
83,5bdc7527b090bd25ba706f59,2
84,5bdc8c6db090bd25ba7075c3,1
85,5bdcc5e2b090bd25ba707c50,1
86,5bdcfa38b090bd25ba707c60,21
87,5bdd5cb4b090bd25ba709dd4,15
88,5bdda46ab090bd25ba70b9c1,1
89,5bddd8deb090bd25ba70d314,15
90,5bde9bc2b090bd25ba70f14e,2
91,5be01813b090bd25ba70f7e9,1
92,5be063dbb090bd25ba70f7fe,1
93,5be0ab1cb090bd25ba70f825,2
94,5be1659eb090bd25ba70f9fb,1
95,5be199b2b090bd25ba71005e,3
96,5beebf85b090bd25ba7180d6,7
97,5bf02b9bb090bd25ba718f75,2
98,5bf5a6e3b090bd25ba7679b7,32
99,5bfd5be9b090bd25ba76837e,1
