,RootLat,RootLon,DestinationLat,DestinationLon,Index
4,50.7203374,-1.8759896,50.720304,-1.8758203,Byron
7,50.720304,-1.8758203,50.7202206,-1.8756434,Byron
9,50.720304,-1.8758203,50.7203374,-1.8759896,Byron
10,50.7202206,-1.8756434,50.7205774,-1.874086,Byron
12,50.7202206,-1.8756434,50.720304,-1.8758203,Byron
13,50.7205774,-1.874086,50.7205774,-1.874086,Byron
14,50.7205774,-1.874086,50.7205774,-1.874086,Byron
16,50.7205774,-1.874086,50.7202206,-1.8756434,Byron
17,50.7205774,-1.874086,50.7203205,-1.8733245,Byron
19,50.7205774,-1.874086,50.7205774,-1.874086,Byron
20,50.7205774,-1.874086,50.7203205,-1.8733245,Byron
22,50.7205774,-1.874086,50.7205774,-1.874086,Byron
23,50.7203205,-1.8733245,50.720543,-1.8734733,Byron
24,50.7203205,-1.8733245,50.7205774,-1.874086,Byron
26,50.7203205,-1.8733245,50.7205774,-1.874086,Byron
27,50.720543,-1.8734733,50.720543,-1.8734733,Byron
28,50.720543,-1.8734733,50.720543,-1.8734733,Byron
30,50.720543,-1.8734733,50.7203205,-1.8733245,Byron
31,50.720543,-1.8734733,50.720531,-1.8741479,Byron
33,50.720543,-1.8734733,50.720543,-1.8734733,Byron
34,50.720543,-1.8734733,50.720531,-1.8741479,Byron
36,50.720543,-1.8734733,50.720543,-1.8734733,Byron
37,50.720531,-1.8741479,50.720533,-1.87429,Byron
38,50.720531,-1.8741479,50.720543,-1.8734733,Byron
40,50.720531,-1.8741479,50.720543,-1.8734733,Byron
41,50.720533,-1.87429,50.7204919,-1.8745964,Byron
42,50.720533,-1.87429,50.720405,-1.8747268,Byron
44,50.720533,-1.87429,50.720531,-1.8741479,Byron
45,50.720405,-1.8747268,50.72087,-1.874803,Byron
47,50.720405,-1.8747268,50.720533,-1.87429,Byron
48,50.7204919,-1.8745964,50.720983,-1.874483,Byron
50,50.7204919,-1.8745964,50.720533,-1.87429,Byron
53,50.72087,-1.874803,50.720405,-1.8747268,Byron
56,50.720983,-1.874483,50.7204919,-1.8745964,Byron
57,50.7206488,-1.8757786,50.7204506,-1.8759622,Percy
58,50.7206488,-1.8757786,50.7205638,-1.8757946,Percy
61,50.7205638,-1.8757946,50.7204558,-1.8744686,Percy
62,50.7205638,-1.8757946,50.7203175,-1.8756174,Percy
64,50.7205638,-1.8757946,50.7206488,-1.8757786,Percy
65,50.7204506,-1.8759622,50.7204558,-1.8744686,Percy
66,50.7204506,-1.8759622,50.7203175,-1.8756174,Percy
68,50.7204506,-1.8759622,50.7206488,-1.8757786,Percy
69,50.7203175,-1.8756174,50.720405,-1.8747268,Percy
70,50.7203175,-1.8756174,50.7204506,-1.8759622,Percy
72,50.7203175,-1.8756174,50.7205638,-1.8757946,Percy
73,50.7204558,-1.8744686,50.720405,-1.8747268,Percy
74,50.7204558,-1.8744686,50.7204506,-1.8759622,Percy
76,50.7204558,-1.8744686,50.7205638,-1.8757946,Percy
77,50.720405,-1.8747268,50.720327,-1.8750706,Percy
78,50.720405,-1.8747268,50.7204558,-1.8744686,Percy
80,50.720405,-1.8747268,50.7203175,-1.8756174,Percy
81,50.720327,-1.8750706,50.720327,-1.8750706,Percy
83,50.720327,-1.8750706,50.720405,-1.8747268,Percy
84,50.720327,-1.8750706,50.7203123,-1.8750007,Percy
85,50.720327,-1.8750706,50.7203105,-1.8748195,Percy
87,50.720327,-1.8750706,50.720327,-1.8750706,Percy
88,50.7203105,-1.8748195,50.7200404,-1.8754931,Percy
90,50.7203105,-1.8748195,50.720327,-1.8750706,Percy
91,50.7203123,-1.8750007,50.7200404,-1.8754931,Percy
93,50.7203123,-1.8750007,50.720327,-1.8750706,Percy
94,50.7200404,-1.8754931,50.7201043,-1.8753713,Percy
95,50.7200404,-1.8754931,50.7203123,-1.8750007,Percy
97,50.7200404,-1.8754931,50.7203105,-1.8748195,Percy
98,50.7201043,-1.8753713,50.7200626,-1.8754617,Percy
99,50.7201043,-1.8753713,50.720204,-1.8753037,Percy
101,50.7201043,-1.8753713,50.7200404,-1.8754931,Percy
102,50.720204,-1.8753037,50.7202914,-1.875251,Percy
104,50.720204,-1.8753037,50.7201043,-1.8753713,Percy
105,50.7200626,-1.8754617,50.7202914,-1.875251,Percy
107,50.7200626,-1.8754617,50.7201043,-1.8753713,Percy
108,50.7202914,-1.875251,50.7200626,-1.8754617,Percy
111,50.7202914,-1.875251,50.720204,-1.8753037,Percy
112,50.7207366,-1.8756622,50.7204592,-1.8761013,Mary
115,50.7204592,-1.8761013,50.7204287,-1.8749727,Mary
116,50.7204592,-1.8761013,50.7203175,-1.8756174,Mary
118,50.7204592,-1.8761013,50.7207366,-1.8756622,Mary
119,50.7203175,-1.8756174,50.7205774,-1.874086,Mary
121,50.7203175,-1.8756174,50.7204592,-1.8761013,Mary
122,50.7204287,-1.8749727,50.7205774,-1.874086,Mary
124,50.7204287,-1.8749727,50.7204592,-1.8761013,Mary
125,50.7205774,-1.874086,50.720327,-1.8750706,Mary
126,50.7205774,-1.874086,50.7204287,-1.8749727,Mary
128,50.7205774,-1.874086,50.7203175,-1.8756174,Mary
129,50.720327,-1.8750706,50.720327,-1.8750706,Mary
130,50.720327,-1.8750706,50.720327,-1.8750706,Mary
132,50.720327,-1.8750706,50.7205774,-1.874086,Mary
133,50.720327,-1.8750706,50.7204059,-1.8748728,Mary
135,50.720327,-1.8750706,50.720327,-1.8750706,Mary
136,50.720327,-1.8750706,50.7204059,-1.8748728,Mary
138,50.720327,-1.8750706,50.720327,-1.8750706,Mary
139,50.7204059,-1.8748728,50.7204059,-1.8748728,Mary
140,50.7204059,-1.8748728,50.7204059,-1.8748728,Mary
141,50.7204059,-1.8748728,50.720327,-1.8750706,Mary
143,50.7204059,-1.8748728,50.720327,-1.8750706,Mary
144,50.7204059,-1.8748728,50.7204237,-1.8751131,Mary
146,50.7204059,-1.8748728,50.7204059,-1.8748728,Mary
147,50.7204059,-1.8748728,50.7204237,-1.8751131,Mary
149,50.7204059,-1.8748728,50.7204059,-1.8748728,Mary
150,50.7204237,-1.8751131,50.7204156,-1.8752579,Mary
151,50.7204237,-1.8751131,50.7204059,-1.8748728,Mary
153,50.7204237,-1.8751131,50.7204059,-1.8748728,Mary
154,50.7204156,-1.8752579,50.7204156,-1.8752579,Mary
155,50.7204156,-1.8752579,50.7204156,-1.8752579,Mary
157,50.7204156,-1.8752579,50.7204237,-1.8751131,Mary
158,50.7204156,-1.8752579,50.720404,-1.8759634,Mary
160,50.7204156,-1.8752579,50.7204156,-1.8752579,Mary
161,50.7204156,-1.8752579,50.720404,-1.8759634,Mary
163,50.7204156,-1.8752579,50.7204156,-1.8752579,Mary
164,50.720404,-1.8759634,50.720404,-1.8759634,Mary
165,50.720404,-1.8759634,50.720404,-1.8759634,Mary
166,50.720404,-1.8759634,50.7204156,-1.8752579,Mary
168,50.720404,-1.8759634,50.7204156,-1.8752579,Mary
169,50.720404,-1.8759634,50.7202658,-1.8756928,Mary
171,50.720404,-1.8759634,50.720404,-1.8759634,Mary
172,50.720404,-1.8759634,50.7202658,-1.8756928,Mary
174,50.720404,-1.8759634,50.720404,-1.8759634,Mary
176,50.7202658,-1.8756928,50.720404,-1.8759634,Mary
178,50.7202658,-1.8756928,50.720404,-1.8759634,Mary
179,50.7201856,-1.8757484,50.7202737,-1.8757976,John
182,50.7202737,-1.8757976,50.7204287,-1.8749727,John
183,50.7202737,-1.8757976,50.7203175,-1.8756174,John
184,50.7202737,-1.8757976,50.7200843,-1.8756065,John
186,50.7202737,-1.8757976,50.7201856,-1.8757484,John
187,50.7200843,-1.8756065,50.7205774,-1.874086,John
189,50.7200843,-1.8756065,50.7202737,-1.8757976,John
190,50.7203175,-1.8756174,50.7205774,-1.874086,John
192,50.7203175,-1.8756174,50.7202737,-1.8757976,John
193,50.7204287,-1.8749727,50.7205774,-1.874086,John
195,50.7204287,-1.8749727,50.7202737,-1.8757976,John
196,50.7205774,-1.874086,50.7205774,-1.874086,John
197,50.7205774,-1.874086,50.7204287,-1.8749727,John
198,50.7205774,-1.874086,50.7203175,-1.8756174,John
200,50.7205774,-1.874086,50.7200843,-1.8756065,John
201,50.7205774,-1.874086,50.720327,-1.8750706,John
203,50.7205774,-1.874086,50.7205774,-1.874086,John
204,50.720327,-1.8750706,50.7204054,-1.8749399,John
206,50.720327,-1.8750706,50.7205774,-1.874086,John
207,50.7204054,-1.8749399,50.7204054,-1.8749399,John
208,50.7204054,-1.8749399,50.7204054,-1.8749399,John
210,50.7204054,-1.8749399,50.720327,-1.8750706,John
211,50.7204054,-1.8749399,50.7203655,-1.8748388,John
213,50.7204054,-1.8749399,50.7204054,-1.8749399,John
214,50.7204054,-1.8749399,50.7203655,-1.8748388,John
216,50.7204054,-1.8749399,50.7204054,-1.8749399,John
217,50.7203655,-1.8748388,50.7203655,-1.8748388,John
218,50.7203655,-1.8748388,50.7203655,-1.8748388,John
219,50.7203655,-1.8748388,50.7204054,-1.8749399,John
221,50.7203655,-1.8748388,50.7204054,-1.8749399,John
222,50.7203655,-1.8748388,50.7202627,-1.8757817,John
224,50.7203655,-1.8748388,50.7203655,-1.8748388,John
225,50.7203655,-1.8748388,50.7202627,-1.8757817,John
227,50.7203655,-1.8748388,50.7203655,-1.8748388,John
228,50.7202627,-1.8757817,50.7203499,-1.8758097,John
229,50.7202627,-1.8757817,50.7200626,-1.8754617,John
230,50.7202627,-1.8757817,50.7203655,-1.8748388,John
232,50.7202627,-1.8757817,50.7203655,-1.8748388,John
233,50.7200626,-1.8754617,50.7202899,-1.8755649,John
235,50.7200626,-1.8754617,50.7202627,-1.8757817,John
236,50.7203499,-1.8758097,50.7202899,-1.8755649,John
238,50.7203499,-1.8758097,50.7202627,-1.8757817,John
240,50.7202899,-1.8755649,50.7203499,-1.8758097,John
242,50.7202899,-1.8755649,50.7200626,-1.8754617,John
