user,login time,logout time,TotalActiveTime
5ba0e437def82a3ad52e2c1c,2018-10-31 16:08:10.293000+00:00,2018-10-31 16:46:36.668000+00:00,0 days 00:38:26.375000000
5bc0abd6def82a3ad52e8527,2018-10-31 15:27:17.323000+00:00,2018-10-31 18:35:55.231000+00:00,0 days 03:08:37.908000000
5bd6f1badef82a3ad53a2330,2018-10-31 15:30:04.051000+00:00,2018-10-31 17:26:54.119000+00:00,0 days 01:56:50.068000000
5bd6f1bbdef82a3ad53a2331,2018-10-31 15:30:11.747000+00:00,2018-10-31 18:19:57.175000+00:00,0 days 02:49:45.428000000
5bd70587def82a3ad53a3cd8,2018-10-31 15:59:29.554000+00:00,2018-10-31 17:59:06.732000+00:00,0 days 01:59:37.178000000
5bd70588def82a3ad53a3cd9,2018-10-31 15:53:18.588000+00:00,2018-10-31 18:19:40.109000+00:00,0 days 02:26:21.521000000
5bd890c9def82a3ad54395e3,2018-10-31 11:16:00.356000+00:00,2018-10-31 14:34:31.543000+00:00,0 days 03:18:31.187000000
5bd8a561def82a3ad543d6ed,2018-10-31 18:06:12.022000+00:00,2018-10-31 18:32:03.615000+00:00,0 days 00:25:51.593000000
5bd8dda5def82a3ad54407be,2018-10-31 00:02:11.230000+00:00,2018-10-31 17:29:14.482000+00:00,0 days 17:27:03.252000000
5bd98bdadef82a3ad54426bb,2018-10-31 11:03:12.810000+00:00,2018-10-31 11:04:00.747000+00:00,0 days 00:00:47.937000000
5bd9c9a4def82a3ad5453575,2018-10-31 17:22:37.017000+00:00,2018-10-31 17:49:49.294000+00:00,0 days 00:27:12.277000000
5bd9cb6adef82a3ad54558e9,2018-10-31 18:06:23.087000+00:00,2018-10-31 18:20:44.529000+00:00,0 days 00:14:21.442000000
5bd9d2a8def82a3ad54583a8,2018-10-31 16:06:50.522000+00:00,2018-10-31 18:48:41.106000+00:00,0 days 02:41:50.584000000
5bd9d535def82a3ad545d2bb,2018-10-31 18:06:39.758000+00:00,2018-10-31 18:11:10.912000+00:00,0 days 00:04:31.154000000
5bd9d721def82a3ad5461936,2018-10-31 18:12:31.473000+00:00,2018-10-31 18:20:17.211000+00:00,0 days 00:07:45.738000000
5bd9e32edef82a3ad5464c1c,2018-10-31 17:18:11.265000+00:00,2018-10-31 17:19:48.251000+00:00,0 days 00:01:36.986000000
5bd9e399def82a3ad5464c24,2018-10-31 17:21:34.726000+00:00,2018-10-31 18:19:18.008000+00:00,0 days 00:57:43.282000000
5bd9e39edef82a3ad5464c25,2018-10-31 17:18:44.233000+00:00,2018-10-31 18:01:03.851000+00:00,0 days 00:42:19.618000000
5bd9e3a0def82a3ad5464c26,2018-10-31 17:18:44.248000+00:00,2018-10-31 17:35:14.332000+00:00,0 days 00:16:30.084000000
5bd9e3acdef82a3ad5464c2b,2018-10-31 17:22:56.674000+00:00,2018-10-31 18:28:11.670000+00:00,0 days 01:05:14.996000000
5bd9e3b6def82a3ad5464c2d,2018-10-31 17:18:43.800000+00:00,2018-10-31 17:58:41.392000+00:00,0 days 00:39:57.592000000
5bd9e3bddef82a3ad5464c30,2018-10-31 17:18:45.947000+00:00,2018-10-31 17:49:14.875000+00:00,0 days 00:30:28.928000000
5bd9e3c0def82a3ad5464c32,2018-10-31 17:18:44.150000+00:00,2018-10-31 17:36:35.359000+00:00,0 days 00:17:51.209000000
5bd9e3cedef82a3ad5464c3a,2018-10-31 17:22:58.690000+00:00,2018-10-31 17:47:35.481000+00:00,0 days 00:24:36.791000000
5bd9e3d2def82a3ad5464c3e,2018-10-31 17:19:37.421000+00:00,2018-10-31 18:02:19.202000+00:00,0 days 00:42:41.781000000
