Latitude,Longitude,Frequency
50.720404,-1.8759634,1
50.7200843,-1.8756065,1
50.720327,-1.8750706,1
50.720204,-1.8753037,1
50.7204506,-1.8759622,1
50.720327,-1.8750706,1
50.7201043,-1.8753713,2
50.7205774,-1.874086,2
,,1
50.7204287,-1.8749727,1
50.7205774,-1.874086,1
50.7204592,-1.8761013,2
50.720543,-1.8734733,1
,,2
50.7202914,-1.875251,1
50.720543,-1.8734733,1
50.7204059,-1.8748728,2
50.7205638,-1.8757946,2
50.7204558,-1.8744686,1
50.7202737,-1.8757976,1
50.7202206,-1.8756434,2
50.7204287,-1.8749727,2
50.7205774,-1.874086,1
50.7202658,-1.8756928,3
50.720304,-1.8758203,3
50.7203175,-1.8756174,2
50.720327,-1.8750706,2
50.7203175,-1.8756174,2
50.7204156,-1.8752579,1
